n_ws^third_max_value,ShearModulus_max_value,Group_composition_average,Column_composition_average,GSenergy_pa_composition_average,AtomicVolume_difference,ThirdIonizationEnergy_min_value,NsUnfilled_arithmetic_average,SecondIonizationEnergy_min_value,AtomicVolume_min_value,BCCenergy_pa_composition_average,ICSDVolume_min_value,NdValence_composition_average,valence_max_value,NsValence_arithmetic_average,valence_difference,Electronegativity_composition_average,IsBoron_difference,IsBoron_composition_average,IsBoron_arithmetic_average,valence_composition_average,NpUnfilled_difference,ShearModulus_difference,IsBoron_max_value,NValance_difference
1.63,69.0,11.8,11.8,-5.247504396,18575.12151853951,27.491,0.2,13.58,17.0756479498908,-3.850482731,17.0,1.5,5.0,1.7999999999999998,3.0,2.692,0.0,0.0,0.0,2.5,0.0,52.0,0.0,17.0
1.64,69.0,11.8,11.8,-5.4511107443330005,18575.12151853951,25.04,0.6000000000000001,14.32,17.0756479498908,-4.06776946,17.0,1.7000000000000002,5.0,1.4,4.0,2.66,0.0,0.0,0.0,2.5,0.0,65.7,0.0,18.0
1.63,69.0,12.8,12.8,-4.853514825333,18575.12151853951,25.3,0.4,16.53,17.0756479498908,-3.44742882,17.0,2.3,5.0,1.6,4.0,2.705,0.0,0.0,0.0,2.5,1.0,65.7,0.0,18.0
1.64,69.0,11.8,11.8,-5.3357046603330005,18578.35226826842,29.31,0.4,14.65,13.8448982209802,-3.952363376,13.8,1.6,5.0,1.6,4.0,2.6630000000000003,0.0,0.0,0.0,2.5,0.0,65.7,0.0,18.0
1.63,69.0,13.0,13.0,-5.6740873475,18575.12151853951,23.32,0.2,14.925,17.0756479498908,-4.26873123,17.0,2.5,5.0,1.7999999999999998,3.0,2.77,0.0,0.0,0.0,2.7,2.0,63.4,0.0,22.0
1.63,69.0,13.0,13.0,-5.456180126,18575.12151853951,27.491,0.2,13.58,17.0756479498908,-4.057393105,17.0,2.5,5.0,1.7999999999999998,3.0,2.794,0.0,0.0,0.0,2.7,2.0,63.4,0.0,24.0
1.63,69.0,13.0,13.0,-5.533253269499999,18575.12151853951,22.99,0.2,13.13,17.0756479498908,-4.1379937810000005,17.0,2.5,5.0,1.7999999999999998,3.0,2.773,0.0,0.0,0.0,2.7,2.0,63.4,0.0,24.0
1.64,69.0,11.8,11.8,-5.4214201085,18575.12151853951,25.04,0.6000000000000001,14.32,17.0756479498908,-4.038514697,17.0,1.7000000000000002,5.0,1.4,3.0,2.649,0.0,0.0,0.0,2.8,0.0,39.0,0.0,18.0
1.63,69.0,13.0,13.0,-5.7072890955,18575.12151853951,23.32,0.2,14.632,17.0756479498908,-4.299946317,17.0,2.5,5.0,1.7999999999999998,3.0,2.733,0.0,0.0,0.0,2.7,2.0,51.0,0.0,13.0
1.63,69.0,13.0,13.0,-5.489381874,18575.12151853951,27.491,0.2,13.58,17.0756479498908,-4.088608192,17.0,2.5,5.0,1.7999999999999998,3.0,2.757,0.0,0.0,0.0,2.7,2.0,51.0,0.0,15.0
1.63,69.0,13.0,13.0,-5.5664550175,18575.12151853951,22.99,0.2,13.13,17.0756479498908,-4.169208868,17.0,2.5,5.0,1.7999999999999998,3.0,2.736,0.0,0.0,0.0,2.7,2.0,51.0,0.0,15.0
